id,type,age_group,internet_control,knows_facebook_age_req,aware_of_child_cyberbullying,concerns_about_device_use,digital_literacy,communicates_about_safety,child_age_group
P0001,Parent,35-44,Yes,False,Unsure,None,Low,False,13-17
P0002,Parent,45-54,Yes,True,Unsure,Insomnia; Academic Performance,Medium,True,9-12
P0003,Parent,45-54,Yes,True,No,Insomnia,High,True,13-17
P0004,Parent,45-54,Want to but struggle,True,No,Academic Performance; Depression,Low,True,9-12
P0005,Parent,25-34,Yes,False,Unsure,Academic Performance,Medium,True,9-12
P0006,Parent,35-44,Yes,True,Unsure,None,High,True,13-17
P0007,Parent,25-34,Want to but struggle,False,No,Depression,Low,False,9-12
P0008,Parent,25-34,Yes,False,No,Depression,Low,False,13-17
P0009,Parent,35-44,Want to but struggle,True,Yes,Insomnia,Low,False,13-17
P0010,Parent,35-44,Yes,True,No,Depression,Medium,True,13-17
P0011,Parent,35-44,Want to but struggle,True,No,Insomnia; Depression,Medium,False,13-17
P0012,Parent,35-44,Want to but struggle,True,No,Eating Disorders,Medium,False,9-12
P0013,Parent,45-54,Want to but struggle,True,Unsure,Insomnia,Medium,False,13-17
P0014,Parent,35-44,Yes,True,No,Insomnia,High,False,13-17
P0015,Parent,45-54,Yes,True,No,None,Medium,True,13-17
P0016,Parent,35-44,Yes,True,No,Academic Performance,High,True,13-17
P0017,Parent,25-34,Want to but struggle,False,No,None,Low,True,9-12
P0018,Parent,25-34,Want to but struggle,True,No,None,Low,False,13-17
P0019,Parent,35-44,Want to but struggle,True,No,None,Low,True,9-12
P0020,Parent,35-44,Want to but struggle,True,No,Academic Performance,Medium,True,13-17
P0021,Parent,25-34,Want to but struggle,False,No,Insomnia,Low,False,9-12
P0022,Parent,35-44,Yes,True,No,None,High,False,13-17
P0023,Parent,45-54,Yes,True,No,Eating Disorders,Medium,False,9-12
P0024,Parent,35-44,Want to but struggle,False,No,Insomnia; Academic Performance; Eating Disorders,Medium,True,13-17
P0025,Parent,25-34,Want to but struggle,True,No,None,Low,True,13-17
