id,type,age_group,gender,daily_internet_hours,primary_activity,uses_facebook,num_social_media_accounts,exposed_to_bad_language,learned_bad_words,experienced_cyberbullying,cyberbullying_types,reported_incident,reported_to,mental_health_impact,received_school_education,awareness_level,impact_certainty
S0001,Student,13-17,Male,1,Videos,True,4,True,True,True,Defamation; Sexual Harassment,False,None,Depression; Anxiety,True,Medium,Unsure
S0002,Student,13-17,Male,7,Chatting,True,1,True,True,False,None,N/A,None,None,False,Low,Not Applicable
S0003,Student,9-12,Female,0,Social Media,True,3,True,True,False,None,N/A,None,None,True,Medium,Not Applicable
S0004,Student,13-17,Female,2,Social Media,False,1,True,False,True,Insults; Defamation,False,None,Academic Decline; Anxiety,True,High,Unsure
S0005,Student,13-17,Female,6,Chatting,True,1,False,False,False,None,N/A,None,None,False,Low,Not Applicable
S0006,Student,13-17,Female,8,Gaming,True,4,True,True,False,None,N/A,None,None,False,Low,Not Applicable
S0007,Student,13-17,Female,5,Studying,True,4,True,False,False,None,N/A,None,None,True,High,Not Applicable
S0008,Student,13-17,Male,6,Gaming,True,1,False,False,False,None,N/A,None,None,False,Low,Not Applicable
S0009,Student,9-12,Male,2,Social Media,True,1,True,False,True,Insults; Defamation; Exclusion,True,Family,Insomnia,False,Low,Certain
S0010,Student,13-17,Female,4,Videos,True,2,False,False,True,Insults; Defamation,True,Friend,Insomnia,True,Medium,Certain
S0011,Student,13-17,Male,1,Social Media,True,1,False,False,True,Insults,False,None,None,True,High,Certain
S0012,Student,9-12,Male,1,Social Media,True,1,False,False,False,None,N/A,None,None,False,Medium,Not Applicable
S0013,Student,9-12,Male,2,Chatting,True,3,False,False,False,None,N/A,None,None,True,High,Not Applicable
S0014,Student,13-17,Female,5,Studying,True,1,True,False,True,Insults,False,None,Insomnia,True,Medium,Certain
S0015,Student,13-17,Female,3,Chatting,True,1,True,True,False,None,N/A,None,None,True,Medium,Not Applicable
S0016,Student,13-17,Female,4,Chatting,False,1,True,False,False,None,N/A,None,None,True,High,Not Applicable
S0017,Student,13-17,Male,5,Chatting,True,1,False,False,True,Insults,True,School Counselor,None,False,Low,Certain
S0018,Student,13-17,Female,1,Social Media,True,3,True,False,True,Insults; Sexual Harassment,True,Friend,Insomnia,False,Low,Certain
S0019,Student,9-12,Female,0,Videos,False,1,True,True,False,None,N/A,None,None,False,Medium,Not Applicable
S0020,Student,9-12,Female,4,Videos,True,1,True,True,True,Insults,False,None,Depression,True,High,Unsure
